Raw_API,Full_API,Description
tf.distribute.InputContext,"tf.distribute.InputContext(
    num_input_pipelines=1, input_pipeline_id=0, num_replicas_in_sync=1
)
",A class wrapping information needed by an input function.View aliases
tf.compat.v1.distribute.MirroredStrategy,"tf.compat.v1.distribute.MirroredStrategy(
    devices=None, cross_device_ops=None
)
",Synchronous training across multiple replicas on one machine.Inherits From: Strategy
tf.distribute.NcclAllReduce,"tf.distribute.NcclAllReduce(
    num_packs=1
)
",NCCL all-reduce implementation of CrossDeviceOps.Inherits From: CrossDeviceOpsView aliases
tf.compat.v1.distribute.OneDeviceStrategy,"tf.compat.v1.distribute.OneDeviceStrategy(
    device
)
",A distribution strategy for running on a single device.Inherits From: Strategy
tf.distribute.ReductionToOneDevice,"tf.distribute.ReductionToOneDevice(
    reduce_to_device=None, accumulation_fn=None
)
",A CrossDeviceOps implementation that copies values to one device to reduce.Inherits From: CrossDeviceOpsView aliases
tf.compat.v1.distribute.ReplicaContext,"tf.compat.v1.distribute.ReplicaContext(
    strategy, replica_id_in_sync_group
)
",A class with a collection of APIs that can be called in a replica context.
tf.distribute.RunOptions,"tf.distribute.RunOptions(
    experimental_enable_dynamic_batch_size=True,
    experimental_bucketizing_dynamic_shape=False,
    experimental_xla_options=None
)
",Run options for strategy.run.View aliases
tf.distribute.Server,"tf.distribute.Server(
    server_or_cluster_def,
    job_name=None,
    task_index=None,
    protocol=None,
    config=None,
    start=True
)
","An in-process TensorFlow server, for use in distributed training.View aliases"
tf.compat.v1.distribute.Strategy,"tf.compat.v1.distribute.Strategy(
    extended
)
",A list of devices with a state & compute distribution policy.
tf.compat.v1.distribute.StrategyExtended,"tf.compat.v1.distribute.StrategyExtended(
    container_strategy
)
",Additional APIs for algorithms that need to be distribution-aware.Inherits From: StrategyExtended
tf.distribute.cluster_resolver.GCEClusterResolver,"tf.distribute.cluster_resolver.GCEClusterResolver(
    project,
    zone,
    instance_group,
    port,
    task_type='worker',
    task_id=0,
    rpc_layer='grpc',
    credentials='default',
    service=None
)
",ClusterResolver for Google Compute Engine.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.KubernetesClusterResolver,"tf.distribute.cluster_resolver.KubernetesClusterResolver(
    job_to_label_mapping=None,
    tf_server_port=8470,
    rpc_layer='grpc',
    override_client=None
)
",ClusterResolver for Kubernetes.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.SimpleClusterResolver,"tf.distribute.cluster_resolver.SimpleClusterResolver(
    cluster_spec,
    master='',
    task_type=None,
    task_id=None,
    environment='',
    num_accelerators=None,
    rpc_layer=None
)
",Simple implementation of ClusterResolver that accepts all attributes.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.SlurmClusterResolver,"tf.distribute.cluster_resolver.SlurmClusterResolver(
    jobs=None,
    port_base=8888,
    gpus_per_node=None,
    gpus_per_task=None,
    tasks_per_node=None,
    auto_set_gpu=True,
    rpc_layer='grpc'
)
",ClusterResolver for system with Slurm workload manager.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.TFConfigClusterResolver,"tf.distribute.cluster_resolver.TFConfigClusterResolver(
    task_type=None, task_id=None, rpc_layer=None, environment=None
)
",Implementation of a ClusterResolver which reads the TF_CONFIG EnvVar.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.TPUClusterResolver,"tf.distribute.cluster_resolver.TPUClusterResolver(
    tpu=None,
    zone=None,
    project=None,
    job_name='worker',
    coordinator_name=None,
    coordinator_address=None,
    credentials='default',
    service=None,
    discovery_url=None
)
",Cluster Resolver for Google Cloud TPUs.Inherits From: ClusterResolverView aliases
tf.distribute.cluster_resolver.UnionResolver,"tf.distribute.cluster_resolver.UnionResolver(
    *args, **kwargs
)
",Performs a union on underlying ClusterResolvers.Inherits From: ClusterResolverView aliases
tf.compat.v1.distribute.experimental.CentralStorageStrategy,"tf.compat.v1.distribute.experimental.CentralStorageStrategy(
    compute_devices=None, parameter_device=None
)
",A one-machine strategy that puts all variables on a single device.Inherits From: Strategy
tf.distribute.experimental.CollectiveHints,"tf.distribute.experimental.CollectiveHints(
    bytes_per_pack=0, timeout_seconds=None
)
",Hints for collective operations like AllReduce.View aliases
tf.distribute.experimental.CommunicationOptions,"tf.distribute.experimental.CommunicationOptions(
    bytes_per_pack=0,
    timeout_seconds=None,
    implementation=tf.distribute.experimental.CollectiveCommunication.AUTO
)
",Options for cross device communications like All-reduce.View aliases
tf.compat.v1.distribute.experimental.MultiWorkerMirroredStrategy,"tf.compat.v1.distribute.experimental.MultiWorkerMirroredStrategy(
    communication=tf.distribute.experimental.CollectiveCommunication.AUTO,
    cluster_resolver=None
)
",A distribution strategy for synchronous training on multiple workers.Inherits From: Strategy
tf.compat.v1.distribute.experimental.ParameterServerStrategy,"tf.compat.v1.distribute.experimental.ParameterServerStrategy(
    cluster_resolver=None
)
",An asynchronous multi-worker parameter server tf.distribute strategy.Inherits From: Strategy
tf.compat.v1.distribute.experimental.TPUStrategy,"tf.compat.v1.distribute.experimental.TPUStrategy(
    tpu_cluster_resolver=None, steps_per_run=None, device_assignment=None
)
",TPU distribution strategy implementation.Inherits From: Strategy
tf.distribute.experimental_set_strategy,"tf.distribute.experimental_set_strategy(
    strategy
)
",Set a tf.distribute.Strategy as current without with strategy.scope().View aliases
tf.compat.v1.distributions.Bernoulli,"tf.compat.v1.distributions.Bernoulli(
    logits=None,
    probs=None,
    dtype=tf.dtypes.int32,
    validate_args=False,
    allow_nan_stats=True,
    name='Bernoulli'
)
",Bernoulli distribution.Inherits From: Distribution
tf.compat.v1.distributions.Beta,"tf.compat.v1.distributions.Beta(
    concentration1=None,
    concentration0=None,
    validate_args=False,
    allow_nan_stats=True,
    name='Beta'
)
",Beta distribution.Inherits From: Distribution
tf.compat.v1.distributions.Categorical,"tf.compat.v1.distributions.Categorical(
    logits=None,
    probs=None,
    dtype=tf.dtypes.int32,
    validate_args=False,
    allow_nan_stats=True,
    name='Categorical'
)
",Categorical distribution.Inherits From: Distribution
tf.compat.v1.distributions.Dirichlet,"tf.compat.v1.distributions.Dirichlet(
    concentration,
    validate_args=False,
    allow_nan_stats=True,
    name='Dirichlet'
)
",Dirichlet distribution.Inherits From: Distribution
tf.compat.v1.distributions.DirichletMultinomial,"tf.compat.v1.distributions.DirichletMultinomial(
    total_count,
    concentration,
    validate_args=False,
    allow_nan_stats=True,
    name='DirichletMultinomial'
)
",Dirichlet-Multinomial compound distribution.Inherits From: Distribution
tf.compat.v1.distributions.Distribution,"tf.compat.v1.distributions.Distribution(
    dtype,
    reparameterization_type,
    validate_args,
    allow_nan_stats,
    parameters=None,
    graph_parents=None,
    name=None
)
",A generic probability distribution base class.
tf.compat.v1.distributions.Exponential,"tf.compat.v1.distributions.Exponential(
    rate,
    validate_args=False,
    allow_nan_stats=True,
    name='Exponential'
)
","Exponential distribution.Inherits From: Gamma, Distribution"
tf.compat.v1.distributions.Gamma,"tf.compat.v1.distributions.Gamma(
    concentration,
    rate,
    validate_args=False,
    allow_nan_stats=True,
    name='Gamma'
)
",Gamma distribution.Inherits From: Distribution
tf.compat.v1.distributions.Laplace,"tf.compat.v1.distributions.Laplace(
    loc,
    scale,
    validate_args=False,
    allow_nan_stats=True,
    name='Laplace'
)
",The Laplace distribution with location loc and scale parameters.Inherits From: Distribution
tf.compat.v1.distributions.Multinomial,"tf.compat.v1.distributions.Multinomial(
    total_count,
    logits=None,
    probs=None,
    validate_args=False,
    allow_nan_stats=True,
    name='Multinomial'
)
",Multinomial distribution.Inherits From: Distribution
tf.compat.v1.distributions.Normal,"tf.compat.v1.distributions.Normal(
    loc,
    scale,
    validate_args=False,
    allow_nan_stats=True,
    name='Normal'
)
",The Normal distribution with location loc and scale parameters.Inherits From: Distribution
tf.compat.v1.distributions.RegisterKL,"tf.compat.v1.distributions.RegisterKL(
    dist_cls_a, dist_cls_b
)
",Decorator to register a KL divergence implementation function.
tf.compat.v1.distributions.ReparameterizationType,"tf.compat.v1.distributions.ReparameterizationType(
    rep_type
)
",Instances of this class represent how sampling is reparameterized.
tf.compat.v1.distributions.StudentT,"tf.compat.v1.distributions.StudentT(
    df,
    loc,
    scale,
    validate_args=False,
    allow_nan_stats=True,
    name='StudentT'
)
",Student's t-distribution.Inherits From: Distribution
tf.compat.v1.distributions.Uniform,"tf.compat.v1.distributions.Uniform(
    low=0.0,
    high=1.0,
    validate_args=False,
    allow_nan_stats=True,
    name='Uniform'
)
",Uniform distribution with low and high parameters.Inherits From: Distribution
tf.compat.v1.distributions.kl_divergence,"tf.compat.v1.distributions.kl_divergence(
    distribution_a, distribution_b, allow_nan_stats=True, name=None
)
",Get the KL-divergence KL(distribution_a || distribution_b). (deprecated)
tf.compat.v1.div,"tf.compat.v1.div(
    x, y, name=None
)
",Divides x / y elementwise (using Python 2 division operator semantics). (deprecated)
tf.math.divide_no_nan,"tf.math.divide_no_nan(
    x, y, name=None
)
",Computes a safe divide which returns 0 if y (denominator) is zero.View aliases
tf.constant,tf.constant(3.0) / 0.0,"Computes a safe divide which returns 0 if y (denominator) is zero.View aliasestf.math.divide_no_nan(    x, y, name=None)For example:"
tf.math.divide,"tf.math.divide(
    x, y, name=None
)
",Computes Python style division of x by y.View aliases
tf.dtypes.as_dtype,"tf.dtypes.as_dtype(
    type_value
)
",Converts the given type_value to a DType.View aliases
tf.strings.as_string,"tf.strings.as_string(
    input,
    precision=-1,
    scientific=False,
    shortest=False,
    width=-1,
    fill='',
    name=None
)
",Converts each entry in the given tensor to strings.View aliases
tf.cast,"tf.cast(
    x, dtype, name=None
)
",Casts a tensor to a new type.View aliases
tf.dtypes.complex,"tf.dtypes.complex(
    real, imag, name=None
)
",Converts two real numbers to a complex number.View aliases
tf.dtypes.saturate_cast,"tf.dtypes.saturate_cast(
    value, dtype, name=None
)
",Performs a safe saturating cast of value to dtype.View aliases
tf.dynamic_partition,"tf.dynamic_partition(
    data, partitions, num_partitions, name=None
)
",Partitions data into num_partitions tensors using indices from partitions.View aliases
tf.dynamic_stitch,"tf.dynamic_stitch(
    indices, data, name=None
)
",Interleave the values from the data tensors into a single tensor.View aliases
tf.edit_distance,"tf.edit_distance(
    hypothesis, truth, normalize=True, name='edit_distance'
)
",Computes the Levenshtein distance between sequences.View aliases
tf.einsum,"tf.einsum(
    equation, *inputs, **kwargs
)
",Tensor contraction over specified indices and outer product.View aliases
tf.compat.v1.enable_eager_execution,"tf.compat.v1.enable_eager_execution(
    config=None, device_policy=None, execution_mode=None
)
",Enables eager execution for the lifetime of this program.
tf.io.encode_base64,"tf.io.encode_base64(
    input, pad=False, name=None
)
",Encode strings into web-safe base64 format.View aliases
tf.ensure_shape,"tf.ensure_shape(
    x, shape, name=None
)
",Updates the shape of a tensor and checks at runtime that the shape holds.View aliases
tf.math.equal,"tf.math.equal(
    x, y, name=None
)
",Returns the truth value of (x == y) element-wise.View aliases
tf.math.erf,"tf.math.erf(
    x, name=None
)
","Computes the Gauss error function of x element-wise. In statistics, for non-negative values of \(x\), the error function has the following interpretation: for a random variable \(Y\) that is normally distributed with mean 0 and variance \(1/\sqrt{2}\), \(erf(x)\) is the probability that \(Y\) falls in the range \([−x, x]\).View aliases"
